Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04,6.55,6.59,6.52,6.57,493729600,0.0,0.0
2010-01-05,6.59,6.62,6.55,6.58,601904800,0.0,0.0
2010-01-06,6.58,6.61,6.47,6.48,552160000,0.0,0.0
2010-01-07,6.5,6.51,6.42,6.47,477131200,0.0,0.0
2010-01-08,6.46,6.51,6.42,6.51,447610800,0.0,0.0
2010-01-11,6.54,6.54,6.4,6.45,462229600,0.0,0.0
2010-01-12,6.42,6.44,6.34,6.38,594459600,0.0,0.0
2010-01-13,6.38,6.48,6.27,6.47,605892000,0.0,0.0
2010-01-14,6.45,6.46,6.42,6.43,432894000,0.0,0.0
2010-01-15,6.48,6.5,6.32,6.32,594067600,0.0,0.0
2010-01-19,6.4,6.61,6.36,6.6,730007600,0.0,0.0
2010-01-20,6.6,6.62,6.43,6.5,612152800,0.0,0.0
2010-01-21,6.51,6.55,6.36,6.39,608154400,0.0,0.0
2010-01-22,6.35,6.37,6.05,6.07,881767600,0.0,0.0
2010-01-25,6.22,6.29,6.15,6.24,1065699600,0.0,0.0
2010-01-26,6.32,6.56,6.22,6.32,1867110000,0.0,0.0
2010-01-27,6.35,6.47,6.13,6.38,1722568400,0.0,0.0
2010-01-28,6.29,6.31,6.1,6.12,1173502400,0.0,0.0
2010-01-29,6.18,6.21,5.84,5.9,1245952400,0.0,0.0
2010-02-01,5.91,6.02,5.87,5.98,749876400,0.0,0.0
2010-02-02,6.02,6.03,5.94,6.02,698342400,0.0,0.0
2010-02-03,5.99,6.15,5.97,6.12,615328000,0.0,0.0
2010-02-04,6.04,6.09,5.88,5.9,757652000,0.0,0.0
2010-02-05,5.92,6.02,5.86,6.0,850306800,0.0,0.0
2010-02-08,6.01,6.08,5.96,5.96,478270800,0.0,0.0
2010-02-09,6.03,6.07,5.98,6.03,632886800,0.0,0.0
2010-02-10,6.02,6.04,5.97,5.99,370361600,0.0,0.0
2010-02-11,5.98,6.13,5.96,6.1,550345600,0.0,0.0
2010-02-12,6.08,6.19,6.0,6.15,655468800,0.0,0.0
2010-02-16,6.2,6.26,6.19,6.25,543737600,0.0,0.0
2010-02-17,6.27,6.27,6.17,6.22,436396800,0.0,0.0
2010-02-18,6.19,6.26,6.17,6.23,422825200,0.0,0.0
2010-02-19,6.2,6.24,6.18,6.19,415469600,0.0,0.0
2010-02-22,6.21,6.22,6.12,6.16,390563600,0.0,0.0
2010-02-23,6.14,6.18,6.01,6.05,575094800,0.0,0.0
2010-02-24,6.09,6.19,6.08,6.16,460566400,0.0,0.0
2010-02-25,6.06,6.23,6.05,6.2,665126000,0.0,0.0
2010-02-26,6.22,6.3,6.2,6.28,507460800,0.0,0.0
2010-03-01,6.32,6.43,6.31,6.42,550093600,0.0,0.0
2010-03-02,6.45,6.47,6.38,6.41,566546400,0.0,0.0
2010-03-03,6.42,6.45,6.39,6.43,372052800,0.0,0.0
2010-03-04,6.43,6.48,6.41,6.47,366041200,0.0,0.0
2010-03-05,6.6,6.75,6.59,6.72,899620400,0.0,0.0
2010-03-08,6.76,6.76,6.7,6.73,429889600,0.0,0.0
2010-03-09,6.7,6.91,6.69,6.85,920259200,0.0,0.0
2010-03-10,6.87,6.92,6.85,6.91,596218000,0.0,0.0
2010-03-11,6.88,6.93,6.86,6.93,405700400,0.0,0.0
2010-03-12,6.98,6.99,6.93,6.96,416323600,0.0,0.0
2010-03-15,6.92,6.93,6.76,6.87,493502800,0.0,0.0
2010-03-16,6.88,6.91,6.83,6.89,446908000,0.0,0.0
2010-03-17,6.91,6.95,6.86,6.88,450956800,0.0,0.0
2010-03-18,6.88,6.91,6.84,6.9,342109600,0.0,0.0
2010-03-19,6.9,6.92,6.79,6.83,559445600,0.0,0.0
2010-03-22,6.77,6.94,6.76,6.9,456419600,0.0,0.0
2010-03-23,6.93,7.03,6.88,7.01,602431200,0.0,0.0
2010-03-24,6.99,7.07,6.99,7.04,597780400,0.0,0.0
2010-03-25,7.09,7.09,6.95,6.96,542284400,0.0,0.0
2010-03-26,7.03,7.12,7.02,7.09,640875200,0.0,0.0
2010-03-29,7.16,7.18,7.11,7.14,540744400,0.0,0.0
2010-03-30,7.27,7.29,7.19,7.24,527310000,0.0,0.0
2010-03-31,7.23,7.27,7.2,7.22,430659600,0.0,0.0
2010-04-01,7.29,7.33,7.15,7.25,603145200,0.0,0.0
2010-04-05,7.22,7.32,7.21,7.32,684507600,0.0,0.0
2010-04-06,7.32,7.38,7.28,7.36,447017200,0.0,0.0
2010-04-07,7.36,7.43,7.33,7.39,628502000,0.0,0.0
2010-04-08,7.38,7.42,7.31,7.37,572989200,0.0,0.0
2010-04-09,7.41,7.43,7.38,7.43,334182800,0.0,0.0
2010-04-12,7.44,7.46,7.43,7.44,333026400,0.0,0.0
2010-04-13,7.43,7.46,7.4,7.45,306210800,0.0,0.0
2010-04-14,7.53,7.55,7.5,7.55,404076400,0.0,0.0
2010-04-15,7.55,7.65,7.54,7.64,376784800,0.0,0.0
2010-04-16,7.63,7.71,7.51,7.6,750545600,0.0,0.0
2010-04-19,7.59,7.61,7.42,7.59,566924400,0.0,0.0
2010-04-20,7.63,7.65,7.46,7.51,738326400,0.0,0.0
2010-04-21,7.95,7.99,7.85,7.96,982391200,0.0,0.0
2010-04-22,7.93,8.19,7.87,8.18,793424800,0.0,0.0
2010-04-23,8.23,8.36,8.2,8.32,796955600,0.0,0.0
2010-04-26,8.35,8.37,8.24,8.28,479068800,0.0,0.0
2010-04-27,8.21,8.23,8.0,8.05,709343600,0.0,0.0
2010-04-28,8.08,8.11,7.87,8.03,758402400,0.0,0.0
2010-04-29,8.08,8.29,8.05,8.25,558840800,0.0,0.0
2010-04-30,8.27,8.31,8.02,8.02,542463600,0.0,0.0
2010-05-03,8.1,8.23,8.07,8.18,454342000,0.0,0.0
2010-05-04,8.07,8.09,7.88,7.94,723819600,0.0,0.0
2010-05-05,7.77,7.93,7.64,7.86,883103200,0.0,0.0
2010-05-06,7.8,7.93,6.12,7.56,1285860800,0.0,0.0
2010-05-07,7.48,7.57,6.92,7.24,1676018400,0.0,0.0
2010-05-10,7.69,7.82,7.63,7.8,984306400,0.0,0.0
2010-05-11,7.73,7.98,7.69,7.88,848906800,0.0,0.0
2010-05-12,7.96,8.08,7.94,8.05,654379600,0.0,0.0
2010-05-13,8.08,8.14,7.87,7.93,599712400,0.0,0.0
2010-05-14,7.84,7.88,7.66,7.8,759362800,0.0,0.0
2010-05-17,7.82,7.87,7.61,7.81,762834800,0.0,0.0
2010-05-18,7.89,7.94,7.69,7.75,782678400,0.0,0.0
2010-05-19,7.66,7.77,7.52,7.63,1025726800,0.0,0.0
2010-05-20,7.43,7.49,7.25,7.3,1282915200,0.0,0.0
2010-05-21,7.15,7.51,7.1,7.44,1223891200,0.0,0.0
2010-05-24,7.59,7.71,7.56,7.58,754238800,0.0,0.0
2010-05-25,7.35,7.58,7.28,7.53,1048006400,0.0,0.0
2010-05-26,7.68,7.74,7.49,7.5,850654000,0.0,0.0
2010-05-27,7.7,7.8,7.65,7.78,666282400,0.0,0.0
2010-05-28,7.97,7.97,7.78,7.89,815614800,0.0,0.0
2010-06-01,7.98,8.17,7.95,8.01,876472800,0.0,0.0
2010-06-02,8.12,8.13,7.99,8.11,688548000,0.0,0.0
2010-06-03,8.14,8.16,8.0,8.08,650106800,0.0,0.0
2010-06-04,7.93,8.04,7.82,7.86,758304400,0.0,0.0
2010-06-07,7.93,7.96,7.69,7.71,886942000,0.0,0.0
2010-06-08,7.78,7.79,7.54,7.66,1000770400,0.0,0.0
2010-06-09,7.72,7.74,7.45,7.47,854630000,0.0,0.0
2010-06-10,7.52,7.71,7.44,7.69,776356000,0.0,0.0
2010-06-11,7.62,7.8,7.6,7.79,545759200,0.0,0.0
2010-06-14,7.86,7.96,7.8,7.81,602960400,0.0,0.0
2010-06-15,7.85,7.98,7.85,7.98,585074000,0.0,0.0
2010-06-16,8.02,8.22,8.0,8.21,783678000,0.0,0.0
2010-06-17,8.31,8.38,8.28,8.35,872855200,0.0,0.0
2010-06-18,8.36,8.45,8.34,8.42,784621600,0.0,0.0
2010-06-21,8.53,8.57,8.25,8.3,776490400,0.0,0.0
2010-06-22,8.36,8.48,8.34,8.41,717262000,0.0,0.0
2010-06-23,8.43,8.44,8.23,8.32,768457200,0.0,0.0
2010-06-24,8.32,8.39,8.23,8.26,714277200,0.0,0.0
2010-06-25,8.29,8.3,8.16,8.19,549942400,0.0,0.0
2010-06-28,8.2,8.28,8.12,8.24,584948000,0.0,0.0
2010-06-29,8.11,8.12,7.81,7.87,1133344800,0.0,0.0
2010-06-30,7.88,7.92,7.68,7.72,739452000,0.0,0.0
2010-07-01,7.81,7.83,7.47,7.63,1022896000,0.0,0.0
2010-07-02,7.69,7.71,7.47,7.58,693842800,0.0,0.0
2010-07-06,7.71,7.76,7.56,7.64,615235600,0.0,0.0
2010-07-07,7.69,7.95,7.67,7.94,654556000,0.0,0.0
2010-07-08,8.06,8.07,7.83,7.93,738144400,0.0,0.0
2010-07-09,7.89,7.98,7.84,7.97,433322400,0.0,0.0
2010-07-12,7.94,8.04,7.83,7.9,562878400,0.0,0.0
2010-07-13,7.87,7.87,7.57,7.73,1190924000,0.0,0.0
2010-07-14,7.66,7.86,7.65,7.76,812047600,0.0,0.0
2010-07-15,7.62,7.89,7.59,7.72,824866000,0.0,0.0
2010-07-16,7.78,7.83,7.63,7.67,1039858400,0.0,0.0
2010-07-19,7.67,7.67,7.36,7.54,1024478000,0.0,0.0
2010-07-20,7.46,7.77,7.37,7.74,1074950800,0.0,0.0
2010-07-21,8.14,8.14,7.8,7.81,1185671200,0.0,0.0
2010-07-22,7.91,7.98,7.84,7.95,645318800,0.0,0.0
2010-07-23,7.9,8.0,7.87,7.98,533388800,0.0,0.0
2010-07-26,7.98,7.99,7.91,7.96,420551600,0.0,0.0
2010-07-27,8.01,8.13,7.99,8.11,584771600,0.0,0.0
2010-07-28,8.1,8.17,7.99,8.01,519985200,0.0,0.0
2010-07-29,8.01,8.07,7.87,7.93,643806800,0.0,0.0
2010-07-30,7.86,7.98,7.83,7.9,448210000,0.0,0.0
2010-08-02,8.0,8.06,7.97,8.04,428055600,0.0,0.0
2010-08-03,8.02,8.08,7.97,8.04,417653600,0.0,0.0
2010-08-04,8.07,8.12,7.99,8.08,420375200,0.0,0.0
2010-08-05,8.04,8.08,8.0,8.04,289097200,0.0,0.0
2010-08-06,7.98,8.03,7.91,7.99,444897600,0.0,0.0
2010-08-09,8.03,8.05,7.97,8.04,303128000,0.0,0.0
2010-08-10,7.98,8.0,7.91,7.97,451920000,0.0,0.0
2010-08-11,7.84,7.85,7.67,7.68,620054400,0.0,0.0
2010-08-12,7.58,7.77,7.56,7.73,534920400,0.0,0.0
2010-08-13,7.73,7.74,7.65,7.65,354869200,0.0,0.0
2010-08-16,7.6,7.68,7.57,7.61,318430000,0.0,0.0
2010-08-17,7.68,7.82,7.65,7.74,422640400,0.0,0.0
2010-08-18,7.75,7.82,7.73,7.77,339696000,0.0,0.0
2010-08-19,7.76,7.78,7.64,7.67,426706000,0.0,0.0
2010-08-20,7.66,7.8,7.65,7.67,384230000,0.0,0.0
2010-08-23,7.73,7.74,7.53,7.55,414041600,0.0,0.0
2010-08-24,7.45,7.46,7.33,7.37,602565600,0.0,0.0
2010-08-25,7.31,7.49,7.28,7.46,596867600,0.0,0.0
2010-08-26,7.54,7.55,7.38,7.38,466505200,0.0,0.0
2010-08-27,7.42,7.45,7.23,7.42,548391200,0.0,0.0
2010-08-30,7.39,7.55,7.39,7.45,383289200,0.0,0.0
2010-08-31,7.43,7.51,7.38,7.47,420786800,0.0,0.0
2010-09-01,7.6,7.72,7.56,7.69,697037600,0.0,0.0
2010-09-02,7.72,7.74,7.63,7.74,415427600,0.0,0.0
2010-09-03,7.83,7.95,7.82,7.95,520788800,0.0,0.0
2010-09-07,7.88,7.97,7.87,7.92,342557600,0.0,0.0
2010-09-08,7.98,8.12,7.96,8.07,526551200,0.0,0.0
2010-09-09,8.14,8.19,8.07,8.08,438575200,0.0,0.0
2010-09-10,8.08,8.12,8.03,8.09,387542400,0.0,0.0
2010-09-13,8.16,8.24,8.16,8.2,388780000,0.0,0.0
2010-09-14,8.18,8.27,8.15,8.23,408150400,0.0,0.0
2010-09-15,8.24,8.3,8.23,8.3,429368800,0.0,0.0
2010-09-16,8.3,8.5,8.28,8.49,652103200,0.0,0.0
2010-09-17,8.53,8.54,8.4,8.46,634477200,0.0,0.0
2010-09-20,8.48,8.72,8.47,8.7,658677600,0.0,0.0
2010-09-21,8.72,8.82,8.68,8.71,668074400,0.0,0.0
2010-09-22,8.68,8.84,8.67,8.84,585289600,0.0,0.0
2010-09-23,8.79,8.99,8.78,8.87,786116800,0.0,0.0
